name,website,application_url,application_email,submission_type,stage_focus,industry_focus,region_focus,form_complexity,question_count_range,required_documents,notes
Vista Equity Partners 5,https://vistaequitypartners5.io,https://vistaequitypartners5.io/apply,apply@vistaequitypartners5.io,form,"Series B,Seed","AI/ML,Healthtech,Climate tech","Europe,Asia",comprehensive,21+,"business_plan,pitch_deck",Generated sample data for testing
Sequoia Capital 5,https://sequoiacapital5.com,https://sequoiacapital5.com/apply,apply@sequoiacapital5.com,email,"Seed,Pre-seed","B2B SaaS,Fintech,Web3","Europe,Asia",comprehensive,21+,"traction_data,video",Generated sample data for testing
Silver Lake Partners 7,https://silverlakepartners7.com,https://silverlakepartners7.com/apply,,form,"Series C,Series B","Web3,Climate tech,B2B SaaS","North America,Europe",simple,11-20,"pitch_deck,video",Generated sample data for testing
Coatue Management 6,https://coatuemanagement6.capital,https://coatuemanagement6.capital/apply,apply@coatuemanagement6.capital,other,"Pre-seed,Series C","Healthtech,B2B SaaS,Marketplace","Global,Europe",standard,11-20,"video,pitch_deck",
Blackstone Growth 8,https://blackstonegrowth8.io,https://blackstonegrowth8.io/apply,apply@blackstonegrowth8.io,form,"Series A,Seed","E-commerce,Consumer,Deep tech","North America,Europe",standard,11-20,"traction_data,financial_projections",
Coatue Management 7,https://coatuemanagement7.vc,https://coatuemanagement7.vc/apply,apply@coatuemanagement7.vc,email,"Series B,Series A","Web3,Gaming,Deep tech","EMEA,North America",simple,11-20,"financial_projections,video",Generated sample data for testing
Benchmark Capital 6,https://benchmarkcapital6.io,https://benchmarkcapital6.io/apply,apply@benchmarkcapital6.io,other,"Series B,Series A","B2B SaaS,E-commerce,Fintech","Global,North America",simple,6-10,"traction_data,pitch_deck",
Founders Fund 5,https://foundersfund5.io,https://foundersfund5.io/apply,,form,"Series A,Series B","E-commerce,B2B SaaS,Gaming","Asia,North America",standard,1-5,"video,business_plan",
Tiger Global Management 6,https://tigerglobalmanagemen.co,https://tigerglobalmanagemen.co/apply,apply@tigerglobalmanagemen.co,email,"Pre-seed,Series C","Fintech,Web3,Consumer","Europe,North America",standard,1-5,"business_plan,video",Generated sample data for testing
Vista Equity Partners 6,https://vistaequitypartners6.vc,https://vistaequitypartners6.vc/apply,apply@vistaequitypartners6.vc,other,"Pre-seed,Seed","B2B SaaS,E-commerce,Developer tools","Europe,North America",standard,11-20,"business_plan,video",Generated sample data for testing
New Enterprise Associates 5,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,,other,"Series C,Series A","Marketplace,B2B SaaS,Web3","Global,Asia",standard,11-20,"traction_data,video",
Advent International 11,https://adventinternational1.capital,https://adventinternational1.capital/apply,apply@adventinternational1.capital,form,"Pre-seed,Seed","Consumer,Fintech,AI/ML","Global,EMEA",standard,11-20,"business_plan,pitch_deck",
SoftBank Vision Fund 7,https://softbankvisionfund7.capital,https://softbankvisionfund7.capital/apply,apply@softbankvisionfund7.capital,other,"Seed,Series A","Fintech,Web3,Marketplace","North America,Global",simple,21+,"pitch_deck,video",Generated sample data for testing
Sequoia Capital 6,https://sequoiacapital6.vc,https://sequoiacapital6.vc/apply,apply@sequoiacapital6.vc,other,"Series A,Series B","AI/ML,Healthtech,Consumer","North America,Europe",standard,21+,"pitch_deck,business_plan",
Benchmark Capital 7,https://benchmarkcapital7.co,https://benchmarkcapital7.co/apply,,other,"Pre-seed,Series B","Fintech,Marketplace,Web3","North America,Global",comprehensive,21+,"business_plan,financial_projections",Generated sample data for testing
Intel Capital 5,https://intelcapital5.io,https://intelcapital5.io/apply,,other,"Series A,Pre-seed","Deep tech,Fintech,B2B SaaS","North America,Europe",standard,11-20,"pitch_deck,financial_projections",Generated sample data for testing
GV (Google Ventures) 7,https://gvgoogleventures7.capital,https://gvgoogleventures7.capital/apply,,email,"Seed,Series B","Marketplace,E-commerce,B2B SaaS","North America,Asia",standard,1-5,"video,pitch_deck",Generated sample data for testing
Andreessen Horowitz 6,https://andreessenhorowitz6.vc,https://andreessenhorowitz6.vc/apply,apply@andreessenhorowitz6.vc,form,"Series C,Seed","Consumer,E-commerce,B2B SaaS","Global,EMEA",standard,1-5,"pitch_deck,business_plan",
Salesforce Ventures 6,https://salesforceventures6.capital,https://salesforceventures6.capital/apply,apply@salesforceventures6.capital,other,"Pre-seed,Series A","Deep tech,Developer tools,E-commerce","EMEA,Asia",comprehensive,6-10,"business_plan,traction_data",Generated sample data for testing
Vista Equity Partners 7,https://vistaequitypartners7.capital,https://vistaequitypartners7.capital/apply,,other,"Seed,Pre-seed","B2B SaaS,Climate tech,Gaming","North America,EMEA",standard,21+,"business_plan,financial_projections",Generated sample data for testing
Benchmark Capital 8,https://benchmarkcapital8.com,https://benchmarkcapital8.com/apply,,form,"Pre-seed,Series C","Fintech,Consumer,Gaming","Europe,North America",standard,11-20,"video,traction_data",Generated sample data for testing
General Catalyst 6,https://generalcatalyst6.vc,https://generalcatalyst6.vc/apply,,email,"Series A,Pre-seed","Fintech,Deep tech,Healthtech","Global,Europe",standard,1-5,"video,business_plan",Generated sample data for testing
Greylock Partners 5,https://greylockpartners5.com,https://greylockpartners5.com/apply,apply@greylockpartners5.com,form,"Series A,Series C","E-commerce,Consumer,Deep tech","Europe,North America",standard,6-10,"pitch_deck,business_plan",
Insight Partners 5,https://insightpartners5.capital,https://insightpartners5.capital/apply,apply@insightpartners5.capital,email,"Series B,Seed","Deep tech,Climate tech,Developer tools","North America,Global",simple,6-10,"video,pitch_deck",
Bessemer Venture Partners 7,https://bessemerventurepartn.io,https://bessemerventurepartn.io/apply,,email,"Series B,Series A","Web3,Deep tech,Healthtech","Global,Asia",standard,6-10,"financial_projections,business_plan",Generated sample data for testing
Andreessen Horowitz 7,https://andreessenhorowitz7.com,https://andreessenhorowitz7.com/apply,apply@andreessenhorowitz7.com,other,"Series C,Series A","B2B SaaS,Fintech,Gaming","North America,Europe",comprehensive,1-5,"video,business_plan",Generated sample data for testing
Andreessen Horowitz 8,https://andreessenhorowitz8.co,https://andreessenhorowitz8.co/apply,,other,"Seed,Pre-seed","B2B SaaS,Web3,Healthtech","Global,North America",comprehensive,6-10,"financial_projections,pitch_deck",
Lightspeed Venture Partners 5,https://lightspeedventurepar.capital,https://lightspeedventurepar.capital/apply,apply@lightspeedventurepar.capital,email,"Seed,Series A","AI/ML,Healthtech,Marketplace","Asia,EMEA",simple,21+,"traction_data,pitch_deck",
Tiger Global Management 7,https://tigerglobalmanagemen.co,https://tigerglobalmanagemen.co/apply,apply@tigerglobalmanagemen.co,email,"Series B,Series A","Developer tools,Marketplace,Healthtech","Europe,North America",comprehensive,21+,"video,business_plan",Generated sample data for testing
Warburg Pincus 6,https://warburgpincus6.com,https://warburgpincus6.com/apply,apply@warburgpincus6.com,form,"Seed,Series A","Deep tech,B2B SaaS,Web3","Europe,Global",simple,11-20,"financial_projections,business_plan",
Accel Partners 6,https://accelpartners6.io,https://accelpartners6.io/apply,apply@accelpartners6.io,email,"Seed,Series C","Climate tech,Deep tech,E-commerce","Europe,Asia",comprehensive,1-5,"video,traction_data",Generated sample data for testing
Lightspeed Venture Partners 6,https://lightspeedventurepar.co,https://lightspeedventurepar.co/apply,apply@lightspeedventurepar.co,email,"Series C,Series A","B2B SaaS,Consumer,Gaming","EMEA,Global",comprehensive,21+,"pitch_deck,video",
New Enterprise Associates 6,https://newenterpriseassocia.com,https://newenterpriseassocia.com/apply,apply@newenterpriseassocia.com,other,"Pre-seed,Series C","Fintech,E-commerce,B2B SaaS","North America,Europe",comprehensive,6-10,"video,pitch_deck",Generated sample data for testing
Insight Partners 6,https://insightpartners6.co,https://insightpartners6.co/apply,,other,"Series C,Series B","Fintech,E-commerce,Climate tech","Global,North America",comprehensive,6-10,"pitch_deck,video",Generated sample data for testing
Salesforce Ventures 7,https://salesforceventures7.vc,https://salesforceventures7.vc/apply,,other,"Seed,Pre-seed","B2B SaaS,Fintech,Developer tools","EMEA,Europe",comprehensive,11-20,"pitch_deck,traction_data",Generated sample data for testing
Silver Lake Partners 8,https://silverlakepartners8.com,https://silverlakepartners8.com/apply,apply@silverlakepartners8.com,other,"Series C,Pre-seed","Consumer,E-commerce,Healthtech","North America,EMEA",standard,11-20,"traction_data,business_plan",
Coatue Management 8,https://coatuemanagement8.com,https://coatuemanagement8.com/apply,,form,"Series B,Seed","Healthtech,B2B SaaS,Climate tech","Asia,Europe",comprehensive,21+,"pitch_deck,video",Generated sample data for testing
Thoma Bravo 6,https://thomabravo6.co,https://thomabravo6.co/apply,,email,"Series B,Pre-seed","Developer tools,Healthtech,Consumer","Global,Europe",simple,21+,"pitch_deck,video",Generated sample data for testing
General Atlantic 6,https://generalatlantic6.com,https://generalatlantic6.com/apply,apply@generalatlantic6.com,form,"Series A,Pre-seed","Climate tech,E-commerce,B2B SaaS","Europe,Global",standard,21+,"financial_projections,video",Generated sample data for testing
Andreessen Horowitz 9,https://andreessenhorowitz9.com,https://andreessenhorowitz9.com/apply,apply@andreessenhorowitz9.com,other,"Seed,Series C","Healthtech,B2B SaaS,E-commerce","EMEA,North America",simple,6-10,"video,pitch_deck",Generated sample data for testing
Tiger Global Management 8,https://tigerglobalmanagemen.co,https://tigerglobalmanagemen.co/apply,apply@tigerglobalmanagemen.co,other,"Series A,Seed","Climate tech,Web3,E-commerce","North America,Asia",comprehensive,11-20,"video,pitch_deck",
Sequoia Capital 7,https://sequoiacapital7.co,https://sequoiacapital7.co/apply,apply@sequoiacapital7.co,other,"Seed,Pre-seed","Healthtech,B2B SaaS,Web3","North America,Global",standard,21+,"financial_projections,pitch_deck",Generated sample data for testing
Andreessen Horowitz 10,https://andreessenhorowitz10.vc,https://andreessenhorowitz10.vc/apply,apply@andreessenhorowitz10.vc,email,"Series B,Pre-seed","B2B SaaS,Developer tools,Fintech","Europe,North America",standard,6-10,"pitch_deck,business_plan",Generated sample data for testing
Tiger Global Management 9,https://tigerglobalmanagemen.vc,https://tigerglobalmanagemen.vc/apply,apply@tigerglobalmanagemen.vc,email,"Series B,Seed","Marketplace,B2B SaaS,Fintech","Europe,North America",comprehensive,6-10,"traction_data,financial_projections",
Insight Partners 7,https://insightpartners7.io,https://insightpartners7.io/apply,apply@insightpartners7.io,form,"Series A,Seed","B2B SaaS,Fintech,Deep tech","North America,Asia",comprehensive,6-10,"business_plan,video",Generated sample data for testing
DST Global 6,https://dstglobal6.vc,https://dstglobal6.vc/apply,,form,"Series B,Series A","Fintech,Consumer,Climate tech","North America,Global",standard,6-10,"pitch_deck,business_plan",Generated sample data for testing
Advent International 12,https://adventinternational1.vc,https://adventinternational1.vc/apply,apply@adventinternational1.vc,email,"Pre-seed,Series B","Climate tech,B2B SaaS,Web3","Global,Europe",simple,6-10,"financial_projections,video",Generated sample data for testing
Bessemer Venture Partners 8,https://bessemerventurepartn.co,https://bessemerventurepartn.co/apply,,form,"Series A,Pre-seed","B2B SaaS,Fintech,Marketplace","Asia,Global",simple,6-10,"business_plan,traction_data",
General Atlantic 7,https://generalatlantic7.capital,https://generalatlantic7.capital/apply,apply@generalatlantic7.capital,form,"Series B,Seed","AI/ML,Fintech,Deep tech","EMEA,Europe",simple,1-5,"pitch_deck,video",Generated sample data for testing
Thoma Bravo 7,https://thomabravo7.com,https://thomabravo7.com/apply,,email,"Series B,Series A","Gaming,Consumer,B2B SaaS","Asia,Europe",comprehensive,11-20,"pitch_deck,financial_projections",
Coatue Management 9,https://coatuemanagement9.vc,https://coatuemanagement9.vc/apply,apply@coatuemanagement9.vc,form,"Series A,Pre-seed","B2B SaaS,Healthtech,Deep tech","North America,Europe",comprehensive,21+,"financial_projections,traction_data",
Andreessen Horowitz 11,https://andreessenhorowitz11.io,https://andreessenhorowitz11.io/apply,apply@andreessenhorowitz11.io,form,"Series B,Pre-seed","E-commerce,Web3,AI/ML","Global,EMEA",simple,21+,"financial_projections,business_plan",
General Atlantic 8,https://generalatlantic8.vc,https://generalatlantic8.vc/apply,apply@generalatlantic8.vc,email,"Series B,Seed","Climate tech,Healthtech,Marketplace","Asia,North America",standard,1-5,"pitch_deck,business_plan",Generated sample data for testing
Vista Equity Partners 8,https://vistaequitypartners8.com,https://vistaequitypartners8.com/apply,apply@vistaequitypartners8.com,form,"Pre-seed,Series B","Climate tech,E-commerce,Healthtech","Europe,North America",standard,1-5,"video,traction_data",Generated sample data for testing
Intel Capital 6,https://intelcapital6.com,https://intelcapital6.com/apply,,other,"Series C,Seed","Consumer,Gaming,B2B SaaS","Europe,Asia",comprehensive,21+,"financial_projections,pitch_deck",
Sequoia Capital 8,https://sequoiacapital8.vc,https://sequoiacapital8.vc/apply,,form,"Series B,Pre-seed","Gaming,Developer tools,E-commerce","North America,Asia",comprehensive,11-20,"financial_projections,video",Generated sample data for testing
Silver Lake Partners 9,https://silverlakepartners9.com,https://silverlakepartners9.com/apply,,form,"Pre-seed,Seed","Healthtech,Climate tech,Gaming","Asia,North America",comprehensive,1-5,"video,pitch_deck",Generated sample data for testing
DST Global 7,https://dstglobal7.io,https://dstglobal7.io/apply,,email,"Series A,Seed","AI/ML,B2B SaaS,Fintech","Global,North America",simple,6-10,"video,pitch_deck",Generated sample data for testing
Vista Equity Partners 9,https://vistaequitypartners9.co,https://vistaequitypartners9.co/apply,,form,"Series C,Seed","B2B SaaS,Consumer,Web3","Asia,Europe",comprehensive,6-10,"business_plan,video",Generated sample data for testing
New Enterprise Associates 7,https://newenterpriseassocia.co,https://newenterpriseassocia.co/apply,apply@newenterpriseassocia.co,other,"Series C,Seed","B2B SaaS,Deep tech,Climate tech","Global,North America",simple,11-20,"traction_data,pitch_deck",Generated sample data for testing
TPG Growth 7,https://tpggrowth7.io,https://tpggrowth7.io/apply,apply@tpggrowth7.io,other,"Series B,Series C","AI/ML,Fintech,Climate tech","North America,Global",simple,6-10,"traction_data,pitch_deck",
New Enterprise Associates 8,https://newenterpriseassocia.io,https://newenterpriseassocia.io/apply,,email,"Pre-seed,Seed","Fintech,Developer tools,Consumer","Europe,North America",simple,21+,"business_plan,financial_projections",Generated sample data for testing
Coatue Management 10,https://coatuemanagement10.capital,https://coatuemanagement10.capital/apply,apply@coatuemanagement10.capital,email,"Seed,Pre-seed","Web3,Consumer,Gaming","Asia,Europe",comprehensive,1-5,"video,traction_data",
Sequoia Capital 9,https://sequoiacapital9.vc,https://sequoiacapital9.vc/apply,apply@sequoiacapital9.vc,form,"Seed,Series A","AI/ML,Fintech,B2B SaaS","Europe,Global",comprehensive,11-20,"pitch_deck,video",Generated sample data for testing
Andreessen Horowitz 12,https://andreessenhorowitz12.io,https://andreessenhorowitz12.io/apply,,form,"Series B,Pre-seed","Healthtech,Climate tech,Web3","Europe,Asia",standard,11-20,"pitch_deck,video",Generated sample data for testing
Lightspeed Venture Partners 7,https://lightspeedventurepar.capital,https://lightspeedventurepar.capital/apply,,email,"Series B,Pre-seed","E-commerce,B2B SaaS,AI/ML","North America,Europe",standard,11-20,"pitch_deck,video",Generated sample data for testing
Lightspeed Venture Partners 8,https://lightspeedventurepar.capital,https://lightspeedventurepar.capital/apply,apply@lightspeedventurepar.capital,form,"Series C,Series B","B2B SaaS,E-commerce,Healthtech","Asia,North America",simple,1-5,"pitch_deck,business_plan",
Silver Lake Partners 10,https://silverlakepartners10.vc,https://silverlakepartners10.vc/apply,,form,"Seed,Series C","Developer tools,B2B SaaS,Fintech","Europe,North America",comprehensive,11-20,"pitch_deck,video",
Coatue Management 11,https://coatuemanagement11.vc,https://coatuemanagement11.vc/apply,,form,"Pre-seed,Seed","Climate tech,B2B SaaS,Marketplace","Global,Asia",comprehensive,1-5,"financial_projections,video",
Kleiner Perkins 7,https://kleinerperkins7.vc,https://kleinerperkins7.vc/apply,apply@kleinerperkins7.vc,form,"Seed,Series C","AI/ML,E-commerce,Web3","Europe,North America",comprehensive,1-5,"pitch_deck,business_plan",Generated sample data for testing
General Catalyst 7,https://generalcatalyst7.capital,https://generalcatalyst7.capital/apply,,form,"Series A,Series B","Deep tech,Developer tools,Consumer","Asia,Europe",comprehensive,11-20,"financial_projections,pitch_deck",Generated sample data for testing
Kleiner Perkins 8,https://kleinerperkins8.com,https://kleinerperkins8.com/apply,,email,"Pre-seed,Seed","E-commerce,Developer tools,Web3","EMEA,Asia",standard,11-20,"pitch_deck,business_plan",Generated sample data for testing
Sequoia Capital 10,https://sequoiacapital10.co,https://sequoiacapital10.co/apply,apply@sequoiacapital10.co,form,"Series B,Seed","Consumer,AI/ML,Web3","Global,North America",comprehensive,11-20,"traction_data,pitch_deck",
Salesforce Ventures 8,https://salesforceventures8.io,https://salesforceventures8.io/apply,apply@salesforceventures8.io,email,"Pre-seed,Series A","B2B SaaS,Fintech,AI/ML","North America,Global",comprehensive,11-20,"pitch_deck,financial_projections",
Index Ventures 7,https://indexventures7.com,https://indexventures7.com/apply,,other,"Seed,Pre-seed","Developer tools,Climate tech,Consumer","North America,Global",comprehensive,6-10,"video,pitch_deck",
GV (Google Ventures) 8,https://gvgoogleventures8.vc,https://gvgoogleventures8.vc/apply,,email,"Series B,Pre-seed","Marketplace,Developer tools,Web3","Asia,Europe",standard,1-5,"video,business_plan",
First Round Capital 7,https://firstroundcapital7.io,https://firstroundcapital7.io/apply,,email,"Pre-seed,Seed","Fintech,Web3,Consumer","Europe,Asia",comprehensive,1-5,"financial_projections,business_plan",Generated sample data for testing
Union Square Ventures 7,https://unionsquareventures7.io,https://unionsquareventures7.io/apply,apply@unionsquareventures7.io,other,"Pre-seed,Series B","Developer tools,B2B SaaS,Fintech","Asia,Global",simple,11-20,"financial_projections,business_plan",Generated sample data for testing
Union Square Ventures 8,https://unionsquareventures8.vc,https://unionsquareventures8.vc/apply,apply@unionsquareventures8.vc,form,"Seed,Series B","Developer tools,B2B SaaS,Fintech","Global,North America",simple,21+,"pitch_deck,business_plan",Generated sample data for testing
Bessemer Venture Partners 9,https://bessemerventurepartn.co,https://bessemerventurepartn.co/apply,,email,"Pre-seed,Seed","Fintech,Gaming,AI/ML","Asia,Europe",comprehensive,21+,"financial_projections,traction_data",
Kleiner Perkins 9,https://kleinerperkins9.io,https://kleinerperkins9.io/apply,,other,"Seed,Pre-seed","Healthtech,E-commerce,AI/ML","North America,Asia",standard,1-5,"pitch_deck,business_plan",Generated sample data for testing
Advent International 13,https://adventinternational1.io,https://adventinternational1.io/apply,,other,"Series A,Pre-seed","B2B SaaS,Deep tech,Climate tech","Europe,North America",simple,6-10,"financial_projections,business_plan",
General Atlantic 9,https://generalatlantic9.capital,https://generalatlantic9.capital/apply,,email,"Series A,Seed","Web3,B2B SaaS,Fintech","Europe,North America",simple,1-5,"traction_data,video",Generated sample data for testing
Accel Partners 7,https://accelpartners7.io,https://accelpartners7.io/apply,apply@accelpartners7.io,form,"Series B,Seed","Web3,AI/ML,Developer tools","North America,EMEA",standard,11-20,"business_plan,video",
Accel Partners 8,https://accelpartners8.capital,https://accelpartners8.capital/apply,,other,"Series C,Pre-seed","B2B SaaS,Fintech,Gaming","Global,North America",standard,11-20,"video,pitch_deck",
Union Square Ventures 9,https://unionsquareventures9.vc,https://unionsquareventures9.vc/apply,apply@unionsquareventures9.vc,form,"Series B,Pre-seed","Web3,B2B SaaS,AI/ML","Europe,Global",standard,11-20,"traction_data,pitch_deck",Generated sample data for testing
TPG Growth 8,https://tpggrowth8.vc,https://tpggrowth8.vc/apply,apply@tpggrowth8.vc,other,"Series B,Pre-seed","Healthtech,B2B SaaS,Web3","Europe,North America",standard,6-10,"financial_projections,pitch_deck",Generated sample data for testing
New Enterprise Associates 9,https://newenterpriseassocia.capital,https://newenterpriseassocia.capital/apply,apply@newenterpriseassocia.capital,email,"Pre-seed,Series A","Web3,B2B SaaS,Fintech","Asia,Global",standard,21+,"video,financial_projections",Generated sample data for testing
GV (Google Ventures) 9,https://gvgoogleventures9.vc,https://gvgoogleventures9.vc/apply,,email,"Seed,Series B","B2B SaaS,Marketplace,Fintech","Europe,North America",simple,6-10,"video,pitch_deck",Generated sample data for testing
Accel Partners 9,https://accelpartners9.capital,https://accelpartners9.capital/apply,apply@accelpartners9.capital,other,"Series C,Pre-seed","Gaming,Fintech,AI/ML","Asia,Europe",simple,1-5,"business_plan,traction_data",Generated sample data for testing
Greylock Partners 8,https://greylockpartners8.co,https://greylockpartners8.co/apply,,other,"Series B,Pre-seed","Developer tools,AI/ML,B2B SaaS","Global,Europe",simple,21+,"business_plan,traction_data",Generated sample data for testing
Warburg Pincus 8,https://warburgpincus8.io,https://warburgpincus8.io/apply,apply@warburgpincus8.io,email,"Series B,Pre-seed","Deep tech,AI/ML,B2B SaaS","North America,EMEA",standard,11-20,"pitch_deck,video",
New Enterprise Associates 10,https://newenterpriseassocia.com,https://newenterpriseassocia.com/apply,,other,"Series C,Pre-seed","B2B SaaS,Web3,Developer tools","North America,Europe",standard,1-5,"video,business_plan",Generated sample data for testing
Silver Lake Partners 11,https://silverlakepartners11.vc,https://silverlakepartners11.vc/apply,,email,"Series C,Pre-seed","Fintech,Climate tech,Gaming","Europe,Global",standard,1-5,"business_plan,pitch_deck",
New Enterprise Associates 11,https://newenterpriseassocia.com,https://newenterpriseassocia.com/apply,,other,"Series B,Pre-seed","B2B SaaS,Marketplace,Developer tools","Global,Asia",standard,1-5,"business_plan,video",Generated sample data for testing
General Atlantic 10,https://generalatlantic10.vc,https://generalatlantic10.vc/apply,,email,"Series A,Seed","Climate tech,Developer tools,Deep tech","Global,Asia",standard,11-20,"business_plan,video",
Coatue Management 12,https://coatuemanagement12.capital,https://coatuemanagement12.capital/apply,,form,"Series C,Series B","Marketplace,Healthtech,Developer tools","Asia,Europe",simple,6-10,"traction_data,financial_projections",
General Catalyst 8,https://generalcatalyst8.co,https://generalcatalyst8.co/apply,,email,"Pre-seed,Seed","Consumer,E-commerce,B2B SaaS","EMEA,North America",simple,1-5,"business_plan,video",Generated sample data for testing
Coatue Management 13,https://coatuemanagement13.io,https://coatuemanagement13.io/apply,apply@coatuemanagement13.io,email,"Seed,Series B","B2B SaaS,Fintech,Deep tech","Global,Asia",comprehensive,6-10,"pitch_deck,business_plan",
Blackstone Growth 9,https://blackstonegrowth9.capital,https://blackstonegrowth9.capital/apply,apply@blackstonegrowth9.capital,other,"Series B,Series A","Developer tools,E-commerce,B2B SaaS","EMEA,Asia",simple,6-10,"pitch_deck,business_plan",
Sequoia Capital 11,https://sequoiacapital11.com,https://sequoiacapital11.com/apply,apply@sequoiacapital11.com,other,"Pre-seed,Series C","E-commerce,Developer tools,Gaming","EMEA,Global",standard,11-20,"financial_projections,pitch_deck",Generated sample data for testing
Andreessen Horowitz 13,https://andreessenhorowitz13.vc,https://andreessenhorowitz13.vc/apply,,form,"Series A,Series B","Marketplace,Consumer,Healthtech","Asia,North America",standard,1-5,"pitch_deck,traction_data",Generated sample data for testing
Greylock Partners 9,https://greylockpartners9.vc,https://greylockpartners9.vc/apply,apply@greylockpartners9.vc,form,"Seed,Pre-seed","E-commerce,Climate tech,Developer tools","North America,Asia",simple,21+,"business_plan,video",Generated sample data for testing
Founders Fund 8,https://foundersfund8.vc,https://foundersfund8.vc/apply,apply@foundersfund8.vc,email,"Series A,Series B","Web3,Gaming,Deep tech","EMEA,North America",simple,6-10,"financial_projections,pitch_deck",
SoftBank Vision Fund 8,https://softbankvisionfund8.capital,https://softbankvisionfund8.capital/apply,,other,"Series B,Pre-seed","Marketplace,E-commerce,Climate tech","Global,Asia",simple,21+,"video,traction_data",
Vista Equity Partners 10,https://vistaequitypartners1.vc,https://vistaequitypartners1.vc/apply,apply@vistaequitypartners1.vc,email,"Pre-seed,Series B","B2B SaaS,E-commerce,Web3","Asia,Europe",standard,21+,"financial_projections,business_plan",
Kleiner Perkins 10,https://kleinerperkins10.io,https://kleinerperkins10.io/apply,apply@kleinerperkins10.io,email,"Series A,Series C","Consumer,B2B SaaS,Fintech","Global,North America",comprehensive,6-10,"pitch_deck,business_plan",Generated sample data for testing
Sequoia Capital 12,https://sequoiacapital12.io,https://sequoiacapital12.io/apply,apply@sequoiacapital12.io,email,"Series C,Pre-seed","B2B SaaS,Climate tech,E-commerce","Global,North America",simple,21+,"video,pitch_deck",
General Atlantic 11,https://generalatlantic11.io,https://generalatlantic11.io/apply,,form,"Pre-seed,Seed","Developer tools,Marketplace,AI/ML","Asia,Europe",standard,11-20,"financial_projections,pitch_deck",Generated sample data for testing
Index Ventures 8,https://indexventures8.vc,https://indexventures8.vc/apply,,form,"Series C,Series B","Deep tech,Consumer,Fintech","Global,Europe",standard,11-20,"financial_projections,business_plan",Generated sample data for testing
Tiger Global Management 10,https://tigerglobalmanagemen.vc,https://tigerglobalmanagemen.vc/apply,apply@tigerglobalmanagemen.vc,form,"Pre-seed,Series B","AI/ML,Fintech,Gaming","Europe,Global",comprehensive,1-5,"video,pitch_deck",
Bessemer Venture Partners 10,https://bessemerventurepartn.io,https://bessemerventurepartn.io/apply,,email,"Series B,Seed","E-commerce,Gaming,B2B SaaS","Europe,North America",comprehensive,1-5,"financial_projections,traction_data",Generated sample data for testing
SoftBank Vision Fund 9,https://softbankvisionfund9.capital,https://softbankvisionfund9.capital/apply,apply@softbankvisionfund9.capital,email,"Pre-seed,Seed","Consumer,Gaming,Fintech","North America,Global",comprehensive,1-5,"pitch_deck,video",
Lightspeed Venture Partners 9,https://lightspeedventurepar.co,https://lightspeedventurepar.co/apply,apply@lightspeedventurepar.co,form,"Seed,Series A","AI/ML,B2B SaaS,E-commerce","North America,Global",standard,11-20,"video,business_plan",
First Round Capital 8,https://firstroundcapital8.vc,https://firstroundcapital8.vc/apply,,form,"Series C,Seed","Healthtech,Web3,Fintech","North America,Europe",simple,6-10,"video,traction_data",Generated sample data for testing
Founders Fund 9,https://foundersfund9.co,https://foundersfund9.co/apply,apply@foundersfund9.co,form,"Seed,Pre-seed","Climate tech,Deep tech,B2B SaaS","North America,Global",comprehensive,11-20,"pitch_deck,video",Generated sample data for testing
Bessemer Venture Partners 11,https://bessemerventurepartn.io,https://bessemerventurepartn.io/apply,apply@bessemerventurepartn.io,form,"Series B,Seed","B2B SaaS,Consumer,Web3","Asia,Europe",comprehensive,6-10,"traction_data,business_plan",
Andreessen Horowitz 14,https://andreessenhorowitz14.capital,https://andreessenhorowitz14.capital/apply,apply@andreessenhorowitz14.capital,form,"Series B,Series A","Healthtech,AI/ML,Marketplace","North America,Global",simple,11-20,"financial_projections,traction_data",
SoftBank Vision Fund 10,https://softbankvisionfund10.vc,https://softbankvisionfund10.vc/apply,apply@softbankvisionfund10.vc,other,"Series A,Series C","B2B SaaS,Fintech,Marketplace","Europe,North America",comprehensive,6-10,"financial_projections,video",
Vista Equity Partners 11,https://vistaequitypartners1.com,https://vistaequitypartners1.com/apply,,email,"Series B,Seed","B2B SaaS,Fintech,Developer tools","Asia,Europe",standard,1-5,"video,pitch_deck",Generated sample data for testing
Founders Fund 10,https://foundersfund10.vc,https://foundersfund10.vc/apply,apply@foundersfund10.vc,form,"Series B,Pre-seed","B2B SaaS,AI/ML,Climate tech","North America,EMEA",standard,11-20,"video,pitch_deck",Generated sample data for testing
Benchmark Capital 9,https://benchmarkcapital9.io,https://benchmarkcapital9.io/apply,apply@benchmarkcapital9.io,email,"Pre-seed,Seed","Fintech,AI/ML,Climate tech","EMEA,Asia",comprehensive,6-10,"video,business_plan",
GV (Google Ventures) 10,https://gvgoogleventures10.co,https://gvgoogleventures10.co/apply,apply@gvgoogleventures10.co,form,"Pre-seed,Seed","B2B SaaS,Fintech,Healthtech","North America,EMEA",simple,1-5,"business_plan,video",Generated sample data for testing
Thoma Bravo 9,https://thomabravo9.io,https://thomabravo9.io/apply,apply@thomabravo9.io,other,"Series B,Series C","Fintech,Gaming,B2B SaaS","EMEA,North America",standard,1-5,"business_plan,traction_data",Generated sample data for testing
