name,website,application_url,application_email,submission_type,program_type,program_duration,location,is_remote_friendly,batch_size,batches_per_year,next_application_deadline,stage_focus,industry_focus,region_focus,equity_taken,funding_provided,acceptance_rate,form_complexity,required_documents,program_fee,is_active,notes
Entrepreneurs Roundtable Accelerator 6,https://entrepreneursroundta.vc,https://entrepreneursroundta.vc/apply,apply@entrepreneursroundta.vc,form,remote,3 months,"New York, NY",false,11-20,3,2024-12-31,"Seed,Series A","B2B SaaS,Fintech,Gaming",Asia,7-10%,25K-50K,<1%,comprehensive,"business_plan,video",757,true,Generated sample data for testing
RGA Accelerator 8,https://rgaaccelerator8.com,https://rgaaccelerator8.com/apply,apply@rgaaccelerator8.com,form,remote,6 months,"Seattle, WA",true,11-20,4,2024-12-31,"Pre-seed,Seed","Consumer,Healthtech,Developer tools",North America,7-10%,25K-50K,<1%,comprehensive,"traction_data,financial_projections",0,true,Generated sample data for testing
500 Startups 8,https://500startups8.io,https://500startups8.io/apply,apply@500startups8.io,form,in-person,3 months,"New York, NY",true,21-50,4,2024-12-31,"Series A,Seed","E-commerce,AI/ML,Developer tools",Asia,4-6%,0-25K,1-5%,standard,"video,pitch_deck",0,true,Generated sample data for testing
Alchemist Accelerator 7,https://alchemistaccelerator.io,https://alchemistaccelerator.io/apply,apply@alchemistaccelerator.io,form,hybrid,12 months,"Seattle, WA",false,1-10,4,2024-12-31,"Seed,Series A","B2B SaaS,E-commerce,Deep tech",Global,0%,50K-100K,6-10%,standard,"pitch_deck,business_plan",0,true,Generated sample data for testing
500 Startups 9,https://500startups9.vc,https://500startups9.vc/apply,apply@500startups9.vc,form,in-person,6 months,Singapore,false,1-10,2,2024-12-31,"Pre-seed,Seed","Gaming,Healthtech,Web3",North America,4-6%,25K-50K,<1%,standard,"pitch_deck,financial_projections",4671,true,Generated sample data for testing
Techstars 7,https://techstars7.capital,https://techstars7.capital/apply,apply@techstars7.capital,form,in-person,6 months,"Austin, TX",true,11-20,4,2024-12-31,"Series A,Seed","Climate tech,Consumer,E-commerce",North America,0%,50K-100K,1-5%,simple,"financial_projections,pitch_deck",0,true,Generated sample data for testing
Plug and Play 10,https://plugandplay10.com,https://plugandplay10.com/apply,apply@plugandplay10.com,form,in-person,12 months,"Boston, MA",false,11-20,3,2024-12-31,"Seed,Pre-seed","Consumer,B2B SaaS,Gaming",EMEA,7-10%,0-25K,<1%,simple,"traction_data,business_plan",0,true,Generated sample data for testing
SOSV 11,https://sosv11.io,https://sosv11.io/apply,apply@sosv11.io,form,in-person,6 months,"San Francisco, CA",false,21-50,4,2024-12-31,"Series A,Seed","Consumer,Marketplace,Web3",Europe,0%,50K-100K,<1%,simple,"video,pitch_deck",6827,true,Generated sample data for testing
SOSV 12,https://sosv12.vc,https://sosv12.vc/apply,apply@sosv12.vc,form,hybrid,3 months,"London, UK",false,1-10,2,2024-12-31,"Seed,Pre-seed","Developer tools,B2B SaaS,AI/ML",EMEA,0%,0-25K,1-5%,simple,"video,pitch_deck",0,true,Generated sample data for testing
Barclays Accelerator 7,https://barclaysaccelerator7.io,https://barclaysaccelerator7.io/apply,apply@barclaysaccelerator7.io,form,hybrid,12 months,"Berlin, Germany",false,1-10,4,2024-12-31,"Pre-seed,Series A","Deep tech,B2B SaaS,Developer tools",North America,4-6%,0-25K,1-5%,simple,"video,business_plan",792,true,Generated sample data for testing
Founder Institute 7,https://founderinstitute7.com,https://founderinstitute7.com/apply,apply@founderinstitute7.com,form,hybrid,6 months,Singapore,false,1-10,3,2024-12-31,"Pre-seed,Series A","B2B SaaS,Healthtech,Gaming",Europe,1-3%,50K-100K,6-10%,simple,"pitch_deck,traction_data",0,true,Generated sample data for testing
Y Combinator 11,https://ycombinator11.capital,https://ycombinator11.capital/apply,apply@ycombinator11.capital,form,hybrid,12 months,"San Francisco, CA",true,21-50,4,2024-12-31,"Series A,Seed","Climate tech,Gaming,Web3",Asia,0%,0-25K,6-10%,simple,"pitch_deck,video",0,true,Generated sample data for testing
Plug and Play 11,https://plugandplay11.io,https://plugandplay11.io/apply,apply@plugandplay11.io,form,hybrid,6 months,"Boston, MA",true,11-20,3,2024-12-31,"Pre-seed,Seed","Climate tech,Deep tech,E-commerce",Europe,4-6%,0-25K,6-10%,standard,"business_plan,pitch_deck",6871,true,Generated sample data for testing
